Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
coatesville,us,39.9832,-75.8239,32.95,52.0,12.0,7.87
ozernovskiy,ru,51.5,156.5167,25.2,93.0,80.0,12.91
klaksvik,fo,62.2266,-6.5891,38.43,100.0,92.0,24.65
troitskiy,ru,45.1462,38.1411,41.77,78.0,56.0,10.67
sao jose da coroa grande,br,-8.8978,-35.1478,78.84,90.0,12.0,10.22
mahebourg,mu,-20.4081,57.7,80.49,82.0,88.0,17.6
catalao,br,-18.1659,-47.9464,76.23,75.0,8.0,2.95
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
kapaa,us,22.0752,-159.319,74.97,80.0,88.0,12.8
jaruco,cu,23.0439,-82.0102,64.27,65.0,0.0,11.34
puerto ayora,ec,-0.7394,-90.3518,82.0,99.0,56.0,6.2
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
quang ngai,vn,15.1167,108.8,68.22,90.0,24.0,2.95
port elizabeth,za,-33.918,25.5701,68.85,95.0,76.0,19.17
ponta do sol,cv,17.1994,-25.092,71.28,99.0,0.0,15.82
lebu,cl,-37.6167,-73.6501,60.84,100.0,36.0,7.87
puerto ayora,ec,-0.7394,-90.3518,82.0,99.0,56.0,6.2
lavrentiya,ru,65.5842,-170.989,0.27,100.0,80.0,17.83
saskylakh,ru,71.965,114.0939,-34.39,63.0,32.0,3.06
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
barrow,us,39.5062,-90.4016,38.97,49.0,0.0,18.05
ceres,za,-33.3684,19.3092,57.87,95.0,68.0,2.17
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
jamestown,sh,-15.9388,-5.7168,74.7,100.0,48.0,14.7
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
tuktoyaktuk,ca,69.444,-133.032,15.64,87.0,24.0,0.6
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
makakilo city,us,21.3469,-158.0859,76.69,63.0,88.0,14.47
vaini,to,-21.2001,-175.2,84.6,99.0,88.0,13.24
tasiilaq,gl,65.6145,-37.6368,12.07,92.0,0.0,6.42
mahebourg,mu,-20.4081,57.7,80.49,82.0,88.0,17.6
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
jamestown,sh,-15.9388,-5.7168,74.7,100.0,48.0,14.7
bethel,us,60.7922,-161.7559,23.04,92.0,92.0,4.74
aksaray,tr,38.3705,34.0269,44.8,85.0,12.0,6.31
lebu,cl,-37.6167,-73.6501,60.84,100.0,36.0,7.87
fortuna,us,40.5974,-124.1561,56.41,94.0,88.0,11.12
chernyshevskiy,ru,63.0128,112.4714,-8.47,79.0,36.0,5.3
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
hobart,au,-42.8826,147.3281,67.12,65.0,76.0,3.18
zarubino,ru,42.6511,131.062,33.3,87.0,44.0,1.72
the valley,ai,18.217,-63.0579,79.09,95.0,0.0,12.46
tessalit,ml,20.2009,1.014,68.58,23.0,0.0,7.76
berlevag,no,70.8578,29.0864,22.53,100.0,76.0,8.99
leningradskiy,ru,69.3833,178.4167,-16.75,99.0,0.0,10.67
madison,us,43.0748,-89.3838,25.92,55.0,0.0,11.45
bilibino,ru,68.055,166.4449,-24.04,34.0,8.0,3.18
kruisfontein,za,-34.0034,24.7314,67.86,80.0,64.0,12.46
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
sinnamary,gf,5.3772,-52.9574,79.02,96.0,92.0,11.68
katobu,id,-4.9409,122.5276,83.16,94.0,0.0,6.42
qaanaaq,gl,77.484,-69.3633,-10.36,100.0,56.0,2.39
pozo colorado,py,-23.4924,-58.7973,85.59,74.0,12.0,5.75
tuatapere,nz,-46.1324,167.6908,59.58,92.0,8.0,20.74
bathsheba,bb,13.2167,-59.5167,77.07,100.0,80.0,15.93
tuatapere,nz,-46.1324,167.6908,59.58,92.0,8.0,20.74
flinders,au,-34.581,150.846,68.88,91.0,76.0,3.62
hilo,us,19.7072,-155.0817,64.09,100.0,80.0,16.82
georgetown,sh,-7.9334,-14.4167,78.84,100.0,0.0,11.68
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
bethel,us,60.7922,-161.7559,23.04,92.0,92.0,4.74
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
atuona,pf,-9.8,-139.0334,79.83,100.0,88.0,9.78
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
faanui,pf,-16.4834,-151.75,81.81,100.0,20.0,9.78
alofi,nu,-19.0596,-169.9187,84.13,98.0,48.0,14.81
kapaa,us,22.0752,-159.319,74.97,80.0,88.0,12.8
avarua,ck,-21.2078,-159.775,84.47,100.0,76.0,8.77
avarua,ck,-21.2078,-159.775,84.47,100.0,76.0,8.77
denpasar,id,-8.65,115.2167,73.89,100.0,56.0,0.16
maine-soroa,ne,13.2114,12.0241,68.67,25.0,0.0,6.42
narsaq,gl,60.9127,-46.0453,12.83,49.0,0.0,1.61
kabanjahe,id,3.101,98.4918,62.1,100.0,8.0,1.95
georgetown,sh,-7.9334,-14.4167,78.84,100.0,0.0,11.68
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
belmonte,br,-26.8449,-53.579,77.94,51.0,0.0,6.53
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
yellowknife,ca,62.4541,-114.3774,31.86,85.0,0.0,12.01
simao,cn,22.7618,100.7911,48.06,80.0,0.0,2.06
port alfred,za,-33.5906,26.891,70.29,92.0,36.0,11.01
tiksi,ru,71.6366,128.8685,-32.23,56.0,20.0,2.95
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
etchojoa,mx,26.9068,-109.6246,84.22,35.0,8.0,10.78
shihezi,cn,44.3,86.0333,31.86,94.0,68.0,3.06
saurimo,ao,-9.659,20.3981,64.44,97.0,64.0,2.62
nouadhibou,mr,20.931,-17.0347,66.79,45.0,76.0,15.03
yellowknife,ca,62.4541,-114.3774,31.86,85.0,0.0,12.01
bandarbeyla,so,9.4942,50.8122,76.5,100.0,0.0,5.08
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
luena,ao,-11.7791,19.9123,62.55,94.0,32.0,2.84
jamestown,sh,-15.9388,-5.7168,74.7,100.0,48.0,14.7
bredasdorp,za,-34.5331,20.0428,67.93,96.0,92.0,14.92
saskylakh,ru,71.965,114.0939,-34.39,63.0,32.0,3.06
paros,gr,37.0833,25.15,56.08,96.0,0.0,16.26
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
bredasdorp,za,-34.5331,20.0428,67.93,96.0,92.0,14.92
jamestown,sh,-15.9388,-5.7168,74.7,100.0,48.0,14.7
port alfred,za,-33.5906,26.891,70.29,92.0,36.0,11.01
kudahuvadhoo,mv,2.6708,72.8944,80.28,100.0,80.0,0.72
hilo,us,19.7072,-155.0817,64.09,100.0,80.0,16.82
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
port-cartier,ca,50.0257,-66.8819,32.74,91.0,80.0,29.01
new norfolk,au,-42.7802,147.0615,67.84,71.0,68.0,3.85
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
geraldton,au,-28.7667,114.6,76.21,79.0,0.0,2.95
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
innisfail,au,-17.5224,146.031,76.95,73.0,8.0,5.97
lompoc,us,34.6392,-120.458,60.62,97.0,92.0,7.2
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
etla,mx,17.2054,-96.8005,75.61,67.0,48.0,2.17
karratha,au,-20.7371,116.8479,82.35,53.0,0.0,4.63
bluff,nz,-46.6,168.3333,59.94,96.0,44.0,29.24
vaini,to,-21.2001,-175.2,84.6,99.0,88.0,13.24
tiksi,ru,71.6366,128.8685,-32.23,56.0,20.0,2.95
mangai,cd,-4.0731,19.5888,73.8,98.0,68.0,2.06
saskylakh,ru,71.965,114.0939,-34.39,63.0,32.0,3.06
cabo san lucas,mx,22.8938,-109.9112,79.88,93.0,0.0,4.63
georgetown,sh,-7.9334,-14.4167,78.84,100.0,0.0,11.68
bluff,nz,-46.6,168.3333,59.94,96.0,44.0,29.24
georgetown,sh,-7.9334,-14.4167,78.84,100.0,0.0,11.68
aksu,cn,41.1231,80.2644,41.04,58.0,88.0,4.74
buraydah,sa,26.3317,43.9717,58.8,42.0,0.0,2.95
mantua,cu,22.2907,-84.2845,71.64,66.0,0.0,6.53
sept-iles,ca,50.2001,-66.3821,31.39,81.0,88.0,8.43
camargo,mx,27.6866,-105.1707,73.8,20.0,44.0,6.76
port alfred,za,-33.5906,26.891,70.29,92.0,36.0,11.01
new norfolk,au,-42.7802,147.0615,67.84,71.0,68.0,3.85
kapaa,us,22.0752,-159.319,74.97,80.0,88.0,12.8
barrow,us,39.5062,-90.4016,38.97,49.0,0.0,18.05
okhotsk,ru,59.3644,143.2411,5.58,100.0,36.0,2.28
tuktoyaktuk,ca,69.444,-133.032,15.64,87.0,24.0,0.6
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
turukhansk,ru,65.7954,87.9608,2.79,75.0,64.0,15.37
ahipara,nz,-35.1665,173.1562,70.65,76.0,0.0,12.46
avarua,ck,-21.2078,-159.775,84.47,100.0,76.0,8.77
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
atuona,pf,-9.8,-139.0334,79.83,100.0,88.0,9.78
port macquarie,au,-31.43,152.9104,73.6,100.0,80.0,4.07
hobart,au,-42.8826,147.3281,67.12,65.0,76.0,3.18
hasaki,jp,35.7333,140.8333,40.12,100.0,0.0,4.07
kapaa,us,22.0752,-159.319,74.97,80.0,88.0,12.8
los llanos de aridane,es,28.6585,-17.9183,61.0,100.0,0.0,3.74
vaini,to,-21.2001,-175.2,84.6,99.0,88.0,13.24
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
hermanus,za,-34.4176,19.2361,61.2,96.0,76.0,3.62
san rafael,ar,-34.6127,-68.3306,60.66,24.0,0.0,6.2
ilulissat,gl,69.2167,-51.1,9.07,90.0,68.0,3.4
maykor,ru,59.0071,55.8869,17.46,88.0,92.0,19.28
quelimane,mz,-17.8776,36.8902,80.58,91.0,88.0,4.74
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
sarangani,ph,5.4033,125.4636,82.89,98.0,44.0,3.62
upernavik,gl,72.7868,-56.1549,2.07,98.0,64.0,1.61
ilulissat,gl,69.2167,-51.1,9.07,90.0,68.0,3.4
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
tomatlan,mx,19.9333,-105.25,82.35,56.0,0.0,4.74
hearst,ca,49.6907,-83.6664,17.55,73.0,48.0,3.62
kununurra,au,-15.7731,128.7388,85.89,52.0,0.0,7.43
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
saskylakh,ru,71.965,114.0939,-34.39,63.0,32.0,3.06
kungurtug,ru,50.5987,97.5254,-10.81,58.0,0.0,1.72
vilhena,br,-12.7369,-60.1466,75.15,94.0,56.0,2.28
thompson,ca,55.7433,-97.8635,42.1,66.0,0.0,10.0
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
mahebourg,mu,-20.4081,57.7,80.49,82.0,88.0,17.6
kalengwa,zm,-13.4659,25.0027,64.89,94.0,24.0,6.2
geraldton,au,-28.7667,114.6,76.21,79.0,0.0,2.95
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
sur,om,22.5702,59.5299,75.15,92.0,0.0,3.96
matelandia,br,-25.2409,-53.9964,71.08,96.0,32.0,2.51
te anau,nz,-45.4145,167.7175,55.8,70.0,12.0,13.58
vaini,to,-21.2001,-175.2,84.6,99.0,88.0,13.24
malanje,ao,-9.5439,16.3475,65.25,100.0,92.0,3.18
castro,cl,-42.4824,-73.7644,54.09,99.0,92.0,11.01
eirunepe,br,-6.6603,-69.8737,78.57,93.0,24.0,2.17
twin falls,us,42.5704,-114.4604,63.27,38.0,24.0,10.45
cedar city,us,37.6775,-113.0619,62.2,39.0,0.0,5.19
kautokeino,no,69.0125,23.0412,14.58,79.0,48.0,5.97
wrexham,gb,53.0465,-2.9939,35.26,87.0,0.0,6.98
qaanaaq,gl,77.484,-69.3633,-10.36,100.0,56.0,2.39
cape town,za,-33.929,18.4174,62.62,100.0,68.0,8.66
bluff,nz,-46.6,168.3333,59.94,96.0,44.0,29.24
husavik,is,66.0449,-17.3389,34.93,97.0,80.0,8.66
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
tuktoyaktuk,ca,69.444,-133.032,15.64,87.0,24.0,0.6
san pedro,ar,-33.6759,-59.6629,69.03,44.0,0.0,6.98
kapaa,us,22.0752,-159.319,74.97,80.0,88.0,12.8
ribeira grande,pt,38.5167,-28.7001,59.61,99.0,8.0,37.18
kaitangata,nz,-46.2818,169.8464,63.81,55.0,0.0,20.07
zaysan,kz,47.4667,84.8667,20.61,80.0,88.0,2.39
port said,eg,25.339,30.5528,51.39,49.0,0.0,2.95
torbay,ca,47.6577,-52.727,29.32,93.0,12.0,19.51
faanui,pf,-16.4834,-151.75,81.81,100.0,20.0,9.78
georgetown,sh,-7.9334,-14.4167,78.84,100.0,0.0,11.68
carnarvon,au,-24.8667,113.6333,81.81,90.0,0.0,8.1
tuktoyaktuk,ca,69.444,-133.032,15.64,87.0,24.0,0.6
lovozero,ru,68.0059,35.0172,7.83,72.0,56.0,4.63
hasaki,jp,35.7333,140.8333,40.12,100.0,0.0,4.07
puerto ayora,ec,-0.7394,-90.3518,82.0,99.0,56.0,6.2
atuona,pf,-9.8,-139.0334,79.83,100.0,88.0,9.78
vaini,to,-21.2001,-175.2,84.6,99.0,88.0,13.24
atuona,pf,-9.8,-139.0334,79.83,100.0,88.0,9.78
jamestown,sh,-15.9388,-5.7168,74.7,100.0,48.0,14.7
lompoc,us,34.6392,-120.458,60.62,97.0,92.0,7.2
atuona,pf,-9.8,-139.0334,79.83,100.0,88.0,9.78
novosheshminsk,ru,55.0616,51.2249,8.1,82.0,56.0,13.02
sibu,my,2.2907,111.8263,75.61,99.0,36.0,3.74
atuona,pf,-9.8,-139.0334,79.83,100.0,88.0,9.78
syedove,ua,47.0768,38.156,34.02,81.0,24.0,21.52
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
scottsbluff,us,41.8666,-103.6672,55.02,51.0,0.0,8.66
zaysan,kz,47.4667,84.8667,20.61,80.0,88.0,2.39
phan thiet,vn,10.931,108.1015,75.6,98.0,80.0,8.43
qaanaaq,gl,77.484,-69.3633,-10.36,100.0,56.0,2.39
cherskiy,ru,68.75,161.3,-18.82,55.0,32.0,6.42
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
cherskiy,ru,68.75,161.3,-18.82,55.0,32.0,6.42
rio gallegos,ar,-51.6227,-69.2182,50.59,87.0,44.0,12.01
bluff,nz,-46.6,168.3333,59.94,96.0,44.0,29.24
hobart,au,-42.8826,147.3281,67.12,65.0,76.0,3.18
beloha,mg,-25.1739,45.0615,76.77,70.0,0.0,8.21
rio gallegos,ar,-51.6227,-69.2182,50.59,87.0,44.0,12.01
castro,cl,-42.4824,-73.7644,54.09,99.0,92.0,11.01
sovetskiy,ru,56.763,48.4743,18.72,88.0,92.0,17.83
hermanus,za,-34.4176,19.2361,61.2,96.0,76.0,3.62
peleduy,ru,59.6253,112.7502,-0.01,63.0,56.0,6.76
jamestown,sh,-15.9388,-5.7168,74.7,100.0,48.0,14.7
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
arraial do cabo,br,-22.9663,-42.0245,77.72,94.0,88.0,8.43
hecelchakan,mx,20.1667,-90.1334,78.46,54.0,92.0,7.65
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
nieuw nickerie,sr,5.9436,-56.9919,79.65,96.0,88.0,14.25
bluff,nz,-46.6,168.3333,59.94,96.0,44.0,29.24
jamestown,sh,-15.9388,-5.7168,74.7,100.0,48.0,14.7
te anau,nz,-45.4145,167.7175,55.8,70.0,12.0,13.58
severo-kurilsk,ru,50.6789,156.125,31.77,98.0,88.0,19.06
hithadhoo,mv,-0.6,73.0833,83.52,100.0,64.0,5.97
piacabucu,br,-10.4056,-36.4345,77.94,88.0,0.0,11.01
maniitsoq,gl,65.4167,-52.9001,15.39,86.0,80.0,6.53
bredasdorp,za,-34.5331,20.0428,67.93,96.0,92.0,14.92
tasiilaq,gl,65.6145,-37.6368,12.07,92.0,0.0,6.42
ponta do sol,pt,32.6667,-17.1,62.69,99.0,80.0,17.16
butaritari,ki,3.0707,172.7902,83.43,98.0,56.0,13.8
aswan,eg,24.0911,32.8973,63.07,56.0,0.0,4.97
mumbwa,zm,-14.9851,27.0614,63.45,93.0,8.0,7.65
bambous virieux,mu,-20.3428,57.7575,80.49,82.0,88.0,17.6
avarua,ck,-21.2078,-159.775,84.47,100.0,76.0,8.77
yongan,cn,39.6957,113.6871,40.77,68.0,0.0,6.08
kapaa,us,22.0752,-159.319,74.97,80.0,88.0,12.8
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
puerto madryn,ar,-42.773,-65.0367,67.05,63.0,8.0,11.01
zavyalovo,ru,54.5053,82.4484,-12.95,58.0,0.0,7.43
leningradskiy,ru,69.3833,178.4167,-16.75,99.0,0.0,10.67
katsuura,jp,33.9258,134.505,58.46,76.0,0.0,2.28
coquimbo,cl,-29.9532,-71.3381,64.11,100.0,12.0,5.41
fortuna,us,40.5974,-124.1561,56.41,94.0,88.0,11.12
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
norman wells,ca,65.2824,-126.8328,35.22,96.0,64.0,3.4
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
grand-lahou,ci,5.2443,-5.0035,76.05,95.0,20.0,4.07
samarai,pg,-10.6167,150.6667,78.75,100.0,80.0,4.63
tasiilaq,gl,65.6145,-37.6368,12.07,92.0,0.0,6.42
kodiak,us,39.9519,-94.7572,47.37,31.0,0.0,10.78
port-cartier,ca,50.0257,-66.8819,32.74,91.0,80.0,29.01
ponta do sol,cv,17.1994,-25.092,71.28,99.0,0.0,15.82
kapaa,us,22.0752,-159.319,74.97,80.0,88.0,12.8
mar del plata,ar,-46.4276,-67.5191,64.17,48.0,20.0,26.33
aykhal,ru,65.9451,111.5081,-27.37,40.0,0.0,2.84
atuona,pf,-9.8,-139.0334,79.83,100.0,88.0,9.78
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
cotonou,bj,6.3677,2.4252,81.05,87.0,0.0,5.08
hithadhoo,mv,-0.6,73.0833,83.52,100.0,64.0,5.97
saint-philippe,re,-21.3586,55.7679,78.04,100.0,76.0,21.3
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
gubkinskiy,ru,64.434,76.5026,11.7,82.0,76.0,14.03
padang,id,-0.9248,100.3633,82.98,100.0,100.0,8.99
kaabong,ug,3.5092,34.1375,61.74,92.0,24.0,3.74
college,us,64.8569,-147.8028,40.17,72.0,56.0,5.64
chegdomyn,ru,51.1345,133.0356,9.72,64.0,56.0,3.62
saint george,bm,32.3817,-64.6781,64.38,100.0,36.0,30.47
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
soyo,ao,-6.1334,12.3718,75.6,95.0,24.0,3.4
norman wells,ca,65.2824,-126.8328,35.22,96.0,64.0,3.4
hobart,au,-42.8826,147.3281,67.12,65.0,76.0,3.18
bluff,nz,-46.6,168.3333,59.94,96.0,44.0,29.24
avarua,ck,-21.2078,-159.775,84.47,100.0,76.0,8.77
khuzhir,ru,53.192,107.3457,-4.96,77.0,0.0,4.52
jalu,ly,29.0331,21.5482,57.06,44.0,0.0,3.74
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
east london,za,-33.0153,27.9116,71.82,96.0,76.0,13.13
manta,ec,-0.95,-80.7334,81.34,97.0,8.0,4.18
nikolskoye,ru,59.7035,30.7861,37.74,91.0,92.0,10.78
hobart,au,-42.8826,147.3281,67.12,65.0,76.0,3.18
ponta do sol,cv,17.1994,-25.092,71.28,99.0,0.0,15.82
bluff,nz,-46.6,168.3333,59.94,96.0,44.0,29.24
glendive,us,47.1053,-104.7125,35.11,77.0,0.0,5.97
black river,jm,18.027,-77.8483,80.04,96.0,92.0,5.41
vestmannaeyjar,is,63.4427,-20.2734,41.4,90.0,44.0,24.87
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
pevek,ru,69.7028,170.2747,-21.07,92.0,0.0,3.85
pisco,pe,-13.71,-76.203,69.49,74.0,20.0,2.39
tasiilaq,gl,65.6145,-37.6368,12.07,92.0,0.0,6.42
axim,gh,4.8654,-2.2422,81.09,100.0,80.0,6.87
vaini,to,-21.2001,-175.2,84.6,99.0,88.0,13.24
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
bredasdorp,za,-34.5331,20.0428,67.93,96.0,92.0,14.92
tuktoyaktuk,ca,69.444,-133.032,15.64,87.0,24.0,0.6
barrow,us,39.5062,-90.4016,38.97,49.0,0.0,18.05
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
santa cruz,us,36.9742,-122.0298,56.53,96.0,80.0,4.18
quatre cocos,mu,-20.2078,57.7625,80.49,82.0,88.0,17.6
atuona,pf,-9.8,-139.0334,79.83,100.0,88.0,9.78
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
lebu,cl,-37.6167,-73.6501,60.84,100.0,36.0,7.87
puerto ayora,ec,-0.7394,-90.3518,82.0,99.0,56.0,6.2
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
bredasdorp,za,-34.5331,20.0428,67.93,96.0,92.0,14.92
chuy,uy,-33.6938,-53.4562,71.19,66.0,24.0,9.22
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
high level,ca,58.5167,-117.1334,50.32,57.0,0.0,4.63
canyon,us,34.9798,-101.9194,55.0,30.0,8.0,13.13
solnechnyy,ru,50.7238,136.6401,16.11,77.0,0.0,3.62
atuona,pf,-9.8,-139.0334,79.83,100.0,88.0,9.78
tilichiki,ru,60.4667,166.1,-9.91,69.0,8.0,9.22
tiksi,ru,71.6366,128.8685,-32.23,56.0,20.0,2.95
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
khatanga,ru,71.9801,102.4743,-41.59,0.0,0.0,3.74
bredasdorp,za,-34.5331,20.0428,67.93,96.0,92.0,14.92
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
mogadishu,so,2.0428,45.3386,80.37,100.0,0.0,8.77
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
cape town,za,-33.929,18.4174,62.62,100.0,68.0,8.66
torbay,ca,47.6577,-52.727,29.32,93.0,12.0,19.51
adrar,dz,27.8734,-0.2875,67.12,28.0,0.0,7.31
brainerd,us,46.358,-94.2009,29.08,84.0,8.0,5.19
ukiah,us,39.1502,-123.2078,53.94,94.0,92.0,3.18
bluff,nz,-46.6,168.3333,59.94,96.0,44.0,29.24
