Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
chokurdakh,ru,70.6192,147.9022,-24.67,75.0,32.0,9.33
seoul,kr,37.5667,126.9783,55.33,95.0,92.0,3.74
coroico,bo,-16.1887,-67.7275,50.11,100.0,92.0,1.61
souillac,mu,-20.5167,57.5167,80.49,82.0,88.0,17.6
bredasdorp,za,-34.5331,20.0428,67.93,96.0,92.0,14.92
avarua,ck,-21.2078,-159.775,84.47,100.0,76.0,8.77
hilo,us,19.7072,-155.0817,64.09,100.0,80.0,16.82
aviles,es,43.5547,-5.9249,53.44,90.0,36.0,5.97
cape town,za,-33.929,18.4174,62.62,100.0,68.0,8.66
haukipudas,fi,65.1667,25.5,23.88,91.0,88.0,14.47
ilulissat,gl,69.2167,-51.1,9.07,90.0,68.0,3.4
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
kieta,pg,-6.2167,155.6333,85.05,89.0,12.0,3.74
hithadhoo,mv,-0.6,73.0833,83.52,100.0,64.0,5.97
chicama,pe,-7.8435,-79.1452,66.15,82.0,20.0,3.74
hithadhoo,mv,-0.6,73.0833,83.52,100.0,64.0,5.97
linqing,cn,36.8459,115.7118,62.19,76.0,0.0,14.92
saskylakh,ru,71.965,114.0939,-34.39,63.0,32.0,3.06
shenjiamen,cn,29.9576,122.298,57.78,89.0,48.0,20.4
cap-aux-meules,ca,47.3821,-61.8597,33.82,88.0,92.0,38.52
tuktoyaktuk,ca,69.444,-133.032,15.64,87.0,24.0,0.6
saint-leu,re,-21.15,55.2833,78.01,98.0,20.0,7.87
aksarka,ru,66.5606,67.7975,3.33,83.0,76.0,2.95
yulara,au,-25.2411,130.9869,79.68,24.0,0.0,9.44
fairbanks,us,64.8378,-147.7167,40.15,72.0,56.0,5.64
atar,mr,20.5183,-13.0544,73.53,24.0,0.0,8.88
east london,za,-33.0153,27.9116,71.82,96.0,76.0,13.13
masuguru,tz,-11.3667,38.4167,71.28,100.0,48.0,5.75
muisne,ec,0.6104,-80.0186,79.56,65.0,12.0,5.64
atuona,pf,-9.8,-139.0334,79.83,100.0,88.0,9.78
tiksi,ru,71.6366,128.8685,-32.23,56.0,20.0,2.95
torbay,ca,47.6577,-52.727,29.32,93.0,12.0,19.51
novyye burasy,ru,52.1297,46.0761,5.86,74.0,36.0,5.64
chopovychi,ua,50.8268,28.9467,34.65,98.0,92.0,9.1
rong kwang,th,18.3421,100.3169,60.57,93.0,0.0,2.51
port alfred,za,-33.5906,26.891,70.29,92.0,36.0,11.01
butaritari,ki,3.0707,172.7902,83.43,98.0,56.0,13.8
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
viedma,ar,-40.8086,-62.9947,59.22,38.0,8.0,7.43
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
umm lajj,sa,25.024,37.2669,62.28,100.0,0.0,3.4
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
cheltenham,gb,51.8996,-2.0712,36.01,90.0,12.0,7.65
atuona,pf,-9.8,-139.0334,79.83,100.0,88.0,9.78
hobart,au,-42.8826,147.3281,67.12,65.0,76.0,3.18
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
arraial do cabo,br,-22.9663,-42.0245,77.72,94.0,88.0,8.43
pirgos,gr,35.1167,25.7178,54.81,100.0,0.0,18.28
nicoya,cr,10.147,-85.4536,86.74,51.0,44.0,8.32
okhotsk,ru,59.3644,143.2411,5.58,100.0,36.0,2.28
mumford,gh,5.2614,-0.7599,78.84,92.0,0.0,8.32
pimentel,pe,-6.8359,-79.9359,73.06,74.0,12.0,4.63
matay,eg,28.4181,30.7864,52.56,67.0,0.0,2.73
hobart,au,-42.8826,147.3281,67.12,65.0,76.0,3.18
ustyuzhna,ru,58.8394,36.4321,36.63,96.0,92.0,14.81
amla,in,21.9244,78.1252,59.4,67.0,0.0,1.61
biloela,au,-24.3998,150.5142,73.44,76.0,0.0,16.49
butaritari,ki,3.0707,172.7902,83.43,98.0,56.0,13.8
mar del plata,ar,-46.4276,-67.5191,64.17,48.0,20.0,26.33
namatanai,pg,-3.6642,152.4407,84.78,94.0,44.0,9.78
nikolskoye,ru,59.7035,30.7861,37.74,91.0,92.0,10.78
puerto ayora,ec,-0.7394,-90.3518,82.0,99.0,56.0,6.2
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
ereymentau,kz,51.6199,73.1033,8.1,86.0,88.0,8.43
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
bredasdorp,za,-34.5331,20.0428,67.93,96.0,92.0,14.92
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
nome,us,30.0358,-94.4244,65.08,39.0,0.0,5.53
tazovskiy,ru,67.4667,78.7,8.64,79.0,68.0,13.24
mindelo,cv,16.8901,-24.9805,71.19,95.0,0.0,14.58
buriti,br,-28.2991,-54.4001,74.79,52.0,0.0,8.77
hobart,au,-42.8826,147.3281,67.12,65.0,76.0,3.18
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
kahului,us,20.8894,-156.4728,72.61,76.0,92.0,13.69
saskylakh,ru,71.965,114.0939,-34.39,63.0,32.0,3.06
half moon bay,us,37.4636,-122.4286,58.33,94.0,92.0,13.13
chuy,uy,-33.6938,-53.4562,71.19,66.0,24.0,9.22
faanui,pf,-16.4834,-151.75,81.81,100.0,20.0,9.78
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
sobolevo,ru,54.4299,31.8996,31.95,97.0,92.0,17.27
fortuna,us,40.5974,-124.1561,56.41,94.0,88.0,11.12
iqaluit,ca,63.7494,-68.5219,-0.23,80.0,32.0,8.55
cape town,za,-33.929,18.4174,62.62,100.0,68.0,8.66
fukagawa,jp,43.7231,142.052,35.22,99.0,80.0,7.2
kodiak,us,39.9519,-94.7572,47.37,31.0,0.0,10.78
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
cape town,za,-33.929,18.4174,62.62,100.0,68.0,8.66
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
soligalich,ru,59.0778,42.2864,28.26,92.0,92.0,21.52
tromso,no,69.6489,18.9551,16.38,100.0,0.0,2.62
namatanai,pg,-3.6642,152.4407,84.78,94.0,44.0,9.78
vardo,no,70.3705,31.1107,15.28,100.0,76.0,15.03
hilo,us,19.7072,-155.0817,64.09,100.0,80.0,16.82
alice,za,-32.7889,26.8344,63.27,87.0,76.0,1.61
tilichiki,ru,60.4667,166.1,-9.91,69.0,8.0,9.22
yellowknife,ca,62.4541,-114.3774,31.86,85.0,0.0,12.01
riyadh,sa,24.632,46.7151,61.38,46.0,0.0,7.99
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
castro,cl,-42.4824,-73.7644,54.09,99.0,92.0,11.01
sayyan,ye,15.1718,44.3244,46.35,63.0,36.0,1.05
tobol,kz,52.6844,62.5794,-3.34,63.0,12.0,8.77
hirara,jp,24.8,125.2833,66.06,100.0,0.0,14.25
junction city,us,39.0286,-96.8314,49.84,24.0,0.0,6.08
do gonbadan,ir,30.3586,50.7981,39.79,69.0,0.0,1.72
mar del plata,ar,-46.4276,-67.5191,64.17,48.0,20.0,26.33
tasiilaq,gl,65.6145,-37.6368,12.07,92.0,0.0,6.42
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
bluff,nz,-46.6,168.3333,59.94,96.0,44.0,29.24
hermanus,za,-34.4176,19.2361,61.2,96.0,76.0,3.62
castro,cl,-42.4824,-73.7644,54.09,99.0,92.0,11.01
sechura,pe,-5.5576,-80.8224,77.67,73.0,0.0,9.78
barrow,us,39.5062,-90.4016,38.97,49.0,0.0,18.05
avarua,ck,-21.2078,-159.775,84.47,100.0,76.0,8.77
lompoc,us,34.6392,-120.458,60.62,97.0,92.0,7.2
doembang nangbuat,th,14.8455,100.096,73.62,93.0,44.0,3.4
upernavik,gl,72.7868,-56.1549,2.07,98.0,64.0,1.61
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
mahebourg,mu,-20.4081,57.7,80.49,82.0,88.0,17.6
yellowknife,ca,62.4541,-114.3774,31.86,85.0,0.0,12.01
kapaa,us,22.0752,-159.319,74.97,80.0,88.0,12.8
kaitangata,nz,-46.2818,169.8464,63.81,55.0,0.0,20.07
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
nelson bay,au,-32.7219,152.1441,72.57,100.0,44.0,10.78
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
hermanus,za,-34.4176,19.2361,61.2,96.0,76.0,3.62
cabo san lucas,mx,22.8938,-109.9112,79.88,93.0,0.0,4.63
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
terra roxa,br,-20.7871,-48.3315,76.78,78.0,12.0,3.18
ribeira grande,pt,38.5167,-28.7001,59.61,99.0,8.0,37.18
kavaratti,in,10.5669,72.642,79.74,100.0,88.0,9.55
yulara,au,-25.2411,130.9869,79.68,24.0,0.0,9.44
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
tuktoyaktuk,ca,69.444,-133.032,15.64,87.0,24.0,0.6
mahebourg,mu,-20.4081,57.7,80.49,82.0,88.0,17.6
jamestown,sh,-15.9388,-5.7168,74.7,100.0,48.0,14.7
vysokogornyy,ru,50.0975,139.1259,14.67,67.0,0.0,3.18
jamestown,sh,-15.9388,-5.7168,74.7,100.0,48.0,14.7
qaanaaq,gl,77.484,-69.3633,-10.36,100.0,56.0,2.39
amot,no,59.5714,7.9877,6.84,64.0,24.0,2.17
touros,br,-5.1989,-35.4609,80.28,89.0,56.0,10.0
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
san patricio,mx,19.223,-104.6989,79.61,64.0,0.0,3.74
port alfred,za,-33.5906,26.891,70.29,92.0,36.0,11.01
hermanus,za,-34.4176,19.2361,61.2,96.0,76.0,3.62
dunedin,nz,-45.874,170.5035,64.17,54.0,0.0,4.97
sjenica,rs,43.2728,19.999,33.84,96.0,76.0,1.61
paamiut,gl,61.994,-49.6678,23.4,100.0,20.0,10.33
jamestown,sh,-15.9388,-5.7168,74.7,100.0,48.0,14.7
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
tasiilaq,gl,65.6145,-37.6368,12.07,92.0,0.0,6.42
danane,ci,7.2596,-8.155,71.64,99.0,32.0,3.51
alyangula,au,-13.8484,136.4192,81.45,100.0,0.0,2.39
hobart,au,-42.8826,147.3281,67.12,65.0,76.0,3.18
heihe,cn,33.218,106.4549,38.61,82.0,0.0,2.06
mar del plata,ar,-46.4276,-67.5191,64.17,48.0,20.0,26.33
jamestown,sh,-15.9388,-5.7168,74.7,100.0,48.0,14.7
iqaluit,ca,63.7494,-68.5219,-0.23,80.0,32.0,8.55
sao filipe,cv,14.8961,-24.4956,72.9,89.0,12.0,17.27
san cristobal,ec,-1.0243,-79.4413,63.9,100.0,36.0,0.94
begun,in,24.986,75.0132,62.1,39.0,0.0,6.31
arraial do cabo,br,-22.9663,-42.0245,77.72,94.0,88.0,8.43
albion,mu,-20.2117,57.4008,80.49,82.0,88.0,17.6
new norfolk,au,-42.7802,147.0615,67.84,71.0,68.0,3.85
tuktoyaktuk,ca,69.444,-133.032,15.64,87.0,24.0,0.6
bealanana,mg,-14.5424,48.7482,63.72,85.0,44.0,4.07
alofi,nu,-19.0596,-169.9187,84.13,98.0,48.0,14.81
lebu,cl,-37.6167,-73.6501,60.84,100.0,36.0,7.87
georgetown,sh,-7.9334,-14.4167,78.84,100.0,0.0,11.68
esperance,au,-33.8583,121.8932,69.48,63.0,76.0,16.26
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
port alfred,za,-33.5906,26.891,70.29,92.0,36.0,11.01
constitucion,mx,23.9912,-104.675,77.86,17.0,0.0,14.25
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
zaragoza,es,41.6521,-0.881,41.99,81.0,20.0,4.85
tiznit,ma,29.6986,-9.7313,56.88,95.0,0.0,4.97
kapaa,us,22.0752,-159.319,74.97,80.0,88.0,12.8
raahe,fi,64.6797,24.4709,24.03,97.0,88.0,15.03
te anau,nz,-45.4145,167.7175,55.8,70.0,12.0,13.58
hermanus,za,-34.4176,19.2361,61.2,96.0,76.0,3.62
gisborne,nz,-38.6614,178.0206,66.69,61.0,0.0,17.83
hobart,au,-42.8826,147.3281,67.12,65.0,76.0,3.18
meulaboh,id,4.1363,96.1285,80.1,100.0,12.0,4.74
carnarvon,au,-24.8667,113.6333,81.81,90.0,0.0,8.1
port alfred,za,-33.5906,26.891,70.29,92.0,36.0,11.01
saint-philippe,re,-21.3586,55.7679,78.04,100.0,76.0,21.3
loreto,mx,22.271,-101.9905,77.85,16.0,0.0,8.43
east london,za,-33.0153,27.9116,71.82,96.0,76.0,13.13
hobart,au,-42.8826,147.3281,67.12,65.0,76.0,3.18
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
mangai,cd,-4.0731,19.5888,73.8,98.0,68.0,2.06
touros,br,-5.1989,-35.4609,80.28,89.0,56.0,10.0
kapaa,us,22.0752,-159.319,74.97,80.0,88.0,12.8
cape town,za,-33.929,18.4174,62.62,100.0,68.0,8.66
port elizabeth,za,-33.918,25.5701,68.85,95.0,76.0,19.17
port alfred,za,-33.5906,26.891,70.29,92.0,36.0,11.01
huanren,cn,41.2647,125.3667,44.82,87.0,80.0,6.87
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
atuona,pf,-9.8,-139.0334,79.83,100.0,88.0,9.78
rocky mount,us,35.9424,-77.7957,39.52,60.0,12.0,6.87
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
tuatapere,nz,-46.1324,167.6908,59.58,92.0,8.0,20.74
soldotna,us,60.4847,-151.0654,36.82,77.0,0.0,2.39
avarua,ck,-21.2078,-159.775,84.47,100.0,76.0,8.77
cape town,za,-33.929,18.4174,62.62,100.0,68.0,8.66
upernavik,gl,72.7868,-56.1549,2.07,98.0,64.0,1.61
upernavik,gl,72.7868,-56.1549,2.07,98.0,64.0,1.61
butaritari,ki,3.0707,172.7902,83.43,98.0,56.0,13.8
hermanus,za,-34.4176,19.2361,61.2,96.0,76.0,3.62
kapaa,us,22.0752,-159.319,74.97,80.0,88.0,12.8
talnakh,ru,69.494,88.3908,-2.17,83.0,56.0,19.73
yar-sale,ru,66.8333,70.8333,9.27,77.0,24.0,10.22
monrovia,lr,6.328,-10.7978,75.2,90.0,0.0,4.18
bluff,nz,-46.6,168.3333,59.94,96.0,44.0,29.24
norman wells,ca,65.2824,-126.8328,35.22,96.0,64.0,3.4
port alfred,za,-33.5906,26.891,70.29,92.0,36.0,11.01
thompson,ca,55.7433,-97.8635,42.1,66.0,0.0,10.0
hasaki,jp,35.7333,140.8333,40.12,100.0,0.0,4.07
bambous virieux,mu,-20.3428,57.7575,80.49,82.0,88.0,17.6
turki,ru,51.9823,43.2708,5.58,83.0,0.0,12.35
alugan,ph,12.2188,125.4808,80.73,92.0,44.0,11.9
ponta do sol,cv,17.1994,-25.092,71.28,99.0,0.0,15.82
new norfolk,au,-42.7802,147.0615,67.84,71.0,68.0,3.85
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
katsuura,jp,33.9258,134.505,58.46,76.0,0.0,2.28
clyde river,ca,70.4692,-68.5915,-13.58,81.0,56.0,4.63
leona vicario,mx,20.9884,-87.2056,73.87,85.0,24.0,9.22
tuktoyaktuk,ca,69.444,-133.032,15.64,87.0,24.0,0.6
pochutla,mx,15.7432,-96.4661,83.82,100.0,0.0,8.43
carmarthen,gb,51.8591,-4.3116,43.86,94.0,48.0,20.07
tadine,nc,-21.55,167.8833,83.07,91.0,44.0,19.28
severo-kurilsk,ru,50.6789,156.125,31.77,98.0,88.0,19.06
brownsville,us,25.914,-97.4891,68.85,84.0,20.0,13.02
pangnirtung,ca,66.149,-65.7179,2.03,80.0,64.0,3.62
sitka,us,37.175,-99.6516,53.64,30.0,0.0,4.97
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
la reforma,mx,25.0838,-108.058,80.02,38.0,0.0,5.41
nanortalik,gl,60.1432,-45.2372,22.86,100.0,0.0,4.07
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
castro,cl,-42.4824,-73.7644,54.09,99.0,92.0,11.01
porto novo,cv,17.0197,-25.0648,68.86,95.0,0.0,14.58
fortuna,us,40.5974,-124.1561,56.41,94.0,88.0,11.12
mundgod,in,14.9705,75.0371,75.96,44.0,88.0,6.87
cidreira,br,-30.1658,-50.2184,69.39,69.0,88.0,5.64
varhaug,no,58.6147,5.6457,33.13,100.0,88.0,7.99
srednekolymsk,ru,67.4555,153.7071,-16.39,48.0,48.0,3.4
atuona,pf,-9.8,-139.0334,79.83,100.0,88.0,9.78
smithers,ca,54.783,-127.1703,52.47,53.0,8.0,2.73
new norfolk,au,-42.7802,147.0615,67.84,71.0,68.0,3.85
bredasdorp,za,-34.5331,20.0428,67.93,96.0,92.0,14.92
cape town,za,-33.929,18.4174,62.62,100.0,68.0,8.66
ribeira grande,pt,38.5167,-28.7001,59.61,99.0,8.0,37.18
vardo,no,70.3705,31.1107,15.28,100.0,76.0,15.03
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
jamestown,us,41.497,-71.3673,32.5,100.0,92.0,15.7
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
marsh harbour,bs,26.5383,-77.0611,68.22,100.0,48.0,6.64
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
chapais,ca,49.7839,-74.8569,26.6,87.0,56.0,7.76
mar del plata,ar,-46.4276,-67.5191,64.17,48.0,20.0,26.33
ponta do sol,cv,17.1994,-25.092,71.28,99.0,0.0,15.82
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
arraial do cabo,br,-22.9663,-42.0245,77.72,94.0,88.0,8.43
nikolskoye,ru,59.7035,30.7861,37.74,91.0,92.0,10.78
soyo,ao,-6.1334,12.3718,75.6,95.0,24.0,3.4
nichinan,jp,31.6476,131.3148,59.09,99.0,0.0,3.96
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
iqaluit,ca,63.7494,-68.5219,-0.23,80.0,32.0,8.55
bluff,nz,-46.6,168.3333,59.94,96.0,44.0,29.24
hobart,au,-42.8826,147.3281,67.12,65.0,76.0,3.18
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
morondava,mg,-20.2954,44.2798,82.35,92.0,20.0,3.85
kletskaya,ru,49.3116,43.0593,10.44,80.0,0.0,13.13
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
saint-philippe,re,-21.3586,55.7679,78.04,100.0,76.0,21.3
ossora,ru,59.2353,163.0719,-5.14,96.0,0.0,4.85
castro,cl,-42.4824,-73.7644,54.09,99.0,92.0,11.01
masuguru,tz,-11.3667,38.4167,71.28,100.0,48.0,5.75
ostrovnoy,ru,68.0544,39.5129,6.84,77.0,32.0,8.32
hilo,us,19.7072,-155.0817,64.09,100.0,80.0,16.82
hami,cn,42.8354,93.5128,38.07,81.0,0.0,6.08
castro,cl,-42.4824,-73.7644,54.09,99.0,92.0,11.01
new norfolk,au,-42.7802,147.0615,67.84,71.0,68.0,3.85
stepnyak,kz,52.8313,70.7869,-0.19,85.0,48.0,9.44
flinders,au,-34.581,150.846,68.88,91.0,76.0,3.62
camacha,pt,33.0833,-16.3334,62.92,98.0,12.0,17.38
sitka,us,37.175,-99.6516,53.64,30.0,0.0,4.97
mehamn,no,71.035,27.8517,20.66,82.0,32.0,6.98
saldanha,za,-33.0117,17.9442,61.34,96.0,68.0,2.62
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
fort nelson,ca,58.8063,-122.694,53.06,63.0,0.0,2.84
port elizabeth,za,-33.918,25.5701,68.85,95.0,76.0,19.17
bambous virieux,mu,-20.3428,57.7575,80.49,82.0,88.0,17.6
zhangjiakou,cn,40.7664,114.8799,34.65,74.0,0.0,2.51
saint-pierre,pm,46.7654,-56.1695,34.77,94.0,68.0,34.72
saint-joseph,re,-21.3667,55.6167,78.04,100.0,76.0,21.3
knysna,za,-34.0363,23.0471,67.44,100.0,68.0,9.78
esperance,au,-33.8583,121.8932,69.48,63.0,76.0,16.26
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
cidreira,br,-30.1658,-50.2184,69.39,69.0,88.0,5.64
jumla,np,29.2754,82.1825,20.52,81.0,12.0,1.72
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
warwick,au,-28.2166,152.0312,68.13,89.0,12.0,20.18
cape town,za,-33.929,18.4174,62.62,100.0,68.0,8.66
jamestown,sh,-15.9388,-5.7168,74.7,100.0,48.0,14.7
victoria,sc,-4.6167,55.45,82.67,100.0,80.0,23.87
west allis,us,43.0167,-88.0071,24.87,55.0,0.0,12.35
prince rupert,ca,54.3161,-130.3202,53.83,87.0,88.0,2.17
victoria,sc,-4.6167,55.45,82.67,100.0,80.0,23.87
port alfred,za,-33.5906,26.891,70.29,92.0,36.0,11.01
ponta do sol,cv,17.1994,-25.092,71.28,99.0,0.0,15.82
tuktoyaktuk,ca,69.444,-133.032,15.64,87.0,24.0,0.6
kapaa,us,22.0752,-159.319,74.97,80.0,88.0,12.8
grand-lahou,ci,5.2443,-5.0035,76.05,95.0,20.0,4.07
castro,cl,-42.4824,-73.7644,54.09,99.0,92.0,11.01
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
namibe,ao,-15.1902,12.1531,75.6,100.0,32.0,2.51
vredendal,za,-31.6795,18.4922,61.29,96.0,92.0,3.18
vao,nc,-22.6667,167.4833,80.28,95.0,88.0,20.74
hobart,au,-42.8826,147.3281,67.12,65.0,76.0,3.18
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
aklavik,ca,68.2183,-135.0136,20.53,81.0,0.0,3.18
katsuura,jp,33.9258,134.505,58.46,76.0,0.0,2.28
bluff,nz,-46.6,168.3333,59.94,96.0,44.0,29.24
georgetown,sh,-7.9334,-14.4167,78.84,100.0,0.0,11.68
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
port alfred,za,-33.5906,26.891,70.29,92.0,36.0,11.01
arraial do cabo,br,-22.9663,-42.0245,77.72,94.0,88.0,8.43
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
nantucket,us,41.2835,-70.0995,33.4,100.0,92.0,33.93
katsuura,jp,33.9258,134.505,58.46,76.0,0.0,2.28
mount isa,au,-20.729,139.4932,87.89,35.0,0.0,7.99
chokurdakh,ru,70.6192,147.9022,-24.67,75.0,32.0,9.33
lixourion,gr,38.2019,20.4314,58.68,99.0,0.0,14.7
saskylakh,ru,71.965,114.0939,-34.39,63.0,32.0,3.06
sitka,us,37.175,-99.6516,53.64,30.0,0.0,4.97
narsaq,gl,60.9127,-46.0453,12.83,49.0,0.0,1.61
thompson,ca,55.7433,-97.8635,42.1,66.0,0.0,10.0
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
